state+city+zip+pop+loc
MA+DEDHAM+2026+23782+[-71.163741, 42.243685]
MA+DOVER+2030+4915+[-71.285363, 42.236233]
MA+EAST WALPOLE+2032+3844+[-71.2179, 42.15324]
MA+FOXBORO+2035+14293+[-71.244127, 42.064938]
MA+FRANKLIN+2038+22128+[-71.405786, 42.09347]
MA+HINGHAM+2043+19821+[-70.891051, 42.224485]
MA+HULL+2045+10466+[-70.875442, 42.285346]
MA+MANSFIELD+2048+16676+[-71.217775, 42.021238]
MA+MARSHFIELD+2050+21782+[-70.69931, 42.106177]
MA+MEDFIELD+2052+10531+[-71.304813, 42.184525]
MA+MEDWAY+2053+9902+[-71.421715, 42.151363]
MA+MILLIS+2054+7613+[-71.360693, 42.166938]
MA+NORFOLK+2056+9259+[-71.326934, 42.117746]
MA+NORWELL+2061+9279+[-70.82172, 42.159574]
MA+NORWOOD+2062+28700+[-71.203313, 42.186843]
MA+SCITUATE+2066+16535+[-70.752476, 42.203235]
MA+SHARON+2067+15873+[-71.175872, 42.109388]
MA+SOUTH WALPOLE+2071+752+[-71.275235, 42.099203]
MA+STOUGHTON+2072+26777+[-71.107357, 42.125279]
MA+WALPOLE+2081+15615+[-71.254391, 42.144413]
MA+WESTWOOD+2090+12557+[-71.210426, 42.214824]
MA+WRENTHAM+2093+9006+[-71.339568, 42.061746]
MA+BOSTON+2108+3697+[-71.068432, 42.357603]
MA+BOSTON+2109+3926+[-71.053386, 42.362963]
MA+BOSTON+2110+957+[-71.051417, 42.357636]
MA+BOSTON+2111+3759+[-71.0629, 42.350348]
MA+BOSTON+2113+6698+[-71.055958, 42.365656]
MA+BOSTON+2114+10246+[-71.06823, 42.361111]
MA+BOSTON+2115+25597+[-71.092215, 42.342706]
MA+BOSTON+2116+17459+[-71.076798, 42.349201]
MA+ROXBURY+2118+21914+[-71.075627, 42.340154]
MA+ROXBURY+2119+25207+[-71.086923, 42.322414]
MA+ROXBURY+2120+14212+[-71.097978, 42.332844]
MA+DORCHESTER+2121+25602+[-71.08305, 42.307503]
MA+DORCHESTER+2122+21266+[-71.058304, 42.297278]
MA+DORCHESTER+2124+48560+[-71.072898, 42.287984]
MA+DORCHESTER+2125+31393+[-71.061924, 42.315305]
MA+MATTAPAN+2126+27808+[-71.093871, 42.273889]
MA+SOUTH BOSTON+2127+29170+[-71.043792, 42.333454]
MA+EAST BOSTON+2128+32941+[-71.028682, 42.378137]
MA+CHARLESTOWN+2129+14775+[-71.062715, 42.377815]
MA+JAMAICA PLAIN+2130+36571+[-71.111495, 42.312596]
MA+ROSLINDALE+2131+32677+[-71.129543, 42.283615]
MA+WEST ROXBURY+2132+26366+[-71.158868, 42.27868]
MA+ALLSTON+2134+23775+[-71.132866, 42.353519]
MA+BRIGHTON+2135+35011+[-71.156599, 42.34779]
MA+HYDE PARK+2136+24260+[-71.126052, 42.253989]
MA+CAMBRIDGE+2138+33841+[-71.125611, 42.377045]
MA+CAMBRIDGE+2139+33149+[-71.104155, 42.364688]
MA+NORTH CAMBRIDGE+2140+16313+[-71.129379, 42.391366]
MA+EAST CAMBRIDGE+2141+10392+[-71.088277, 42.370701]
MA+CAMBRIDGE+2142+1336+[-71.083011, 42.362025]
MA+SOMERVILLE+2143+25597+[-71.102814, 42.382945]
MA+SOMERVILLE+2144+26374+[-71.122059, 42.40032]
MA+SOMERVILLE+2145+24422+[-71.092944, 42.390678]
MA+BROOKLINE+2146+56614+[-71.128917, 42.339158]
MA+MALDEN+2148+54114+[-71.060507, 42.42911]
MA+EVERETT+2149+35493+[-71.051448, 42.411199]
MA+CHELSEA+2150+28790+[-71.032521, 42.396252]
MA+REVERE+2151+42766+[-71.005165, 42.413767]
MA+WINTHROP+2152+18907+[-70.980043, 42.376294]
MA+NORTH WALTHAM+2154+57871+[-71.236497, 42.382492]
MA+MEDFORD+2155+57338+[-71.108686, 42.417335]
MA+NEWTONVILLE+2158+13271+[-71.1902, 42.353835]
MA+NEWTON CENTER+2159+18726+[-71.191839, 42.318889]
MA+NEWTONVILLE+2160+8872+[-71.208771, 42.351961]
MA+NEWTON HIGHLANDS+2161+6657+[-71.209347, 42.318512]
MA+NEWTONVILLE+2162+1427+[-71.258025, 42.330296]
MA+CAMBRIDGE+2163+0+[-71.141879, 42.364005]
MA+NEWTON UPPER FAL+2164+2597+[-71.221615, 42.312562]
MA+NEWTONVILLE+2165+12027+[-71.22795, 42.352366]
MA+AUBURNDALE+2166+6123+[-71.247598, 42.345928]
MA+BOSTON COLLEGE+2167+15619+[-71.16272, 42.31903]
MA+WABAN+2168+5759+[-71.230703, 42.327049]
MA+QUINCY+2169+48920+[-70.997816, 42.249133]
MA+QUINCY+2170+18330+[-71.018644, 42.26713]
MA+QUINCY+2171+18251+[-71.024141, 42.282519]
MA+EAST WATERTOWN+2172+33930+[-71.180266, 42.371497]
MA+LEXINGTON+2173+28994+[-71.225916, 42.445384]
MA+ARLINGTON+2174+44539+[-71.162517, 42.417098]
MA+MELROSE+2176+28228+[-71.063191, 42.458066]
MA+BELMONT+2178+24733+[-71.174647, 42.389656]
MA+STONEHAM+2180+22147+[-71.0978, 42.482778]
MA+WELLESLEY+2181+26615+[-71.287966, 42.305593]
MA+BRAINTREE+2184+33836+[-70.996304, 42.209284]
MA+MILTON+2186+25558+[-71.077051, 42.253663]
MA+WEYMOUTH+2188+13187+[-70.958248, 42.211327]
MA+WEYMOUTH+2189+14055+[-70.931671, 42.211606]
MA+WEYMOUTH+2190+17668+[-70.94869, 42.172817]
MA+WEYMOUTH+2191+9153+[-70.944318, 42.243564]
MA+NEEDHAM+2192+19570+[-71.235172, 42.278908]
MA+WESTON+2193+10221+[-71.300291, 42.359422]
MA+NEEDHAM+2194+8006+[-71.234363, 42.297702]
MA+BOSTON+2199+886+[-71.082543, 42.347873]
MA+BOSTON+2210+308+[-71.046511, 42.348921]
